"Points:0","Points:1","Points:2","RDF","U:0","U:1","U:2","alpha.water","delta","p","p_rgh","psi"
0,0,0,0,1,0.5,0,1,26.667,0,0,0.05625
0.025,0,0,0,1,0.5,0,1,26.667,-3.6719e-11,-3.6719e-11,0.05625
0.05,0,0,0,1,0.5,0,1,26.667,-9.8778e-11,-9.8778e-11,0.05625
0.075,0,0,0,1,0.5,0,1,26.667,-1.4229e-10,-1.4229e-10,0.05625
0.1,0,0,0,1,0.5,0,1,26.667,-1.7471e-10,-1.7471e-10,0.05625
0.125,0,0,0,1,0.5,0,1,26.667,-2.0043e-10,-2.0043e-10,0.05625
0.15,0,0,0,1,0.5,0,1,26.667,-2.2215e-10,-2.2215e-10,0.05625
0.175,0,0,0,1,0.5,0,1,26.667,-2.4141e-10,-2.4141e-10,0.05625
0.2,0,0,0,1,0.5,0,1,26.667,-2.5811e-10,-2.5811e-10,0.05625
0.225,0,0,0,1,0.5,0,1,26.667,-2.7227e-10,-2.7227e-10,0.05625
0.25,0,0,0,1,0.5,0,1,26.667,-2.8549e-10,-2.8549e-10,0.05625
0.275,0,0,0,1,0.5,0,1,26.667,-2.9729e-10,-2.9729e-10,0.05625
0.3,0,0,0,1,0.5,0,1,26.667,-3.0738e-10,-3.0738e-10,0.05625
0.325,0,0,0,1,0.5,0,1,26.667,-3.1746e-10,-3.1746e-10,0.05625
0.35,0,0,0,1,0.5,0,1,26.667,-3.2698e-10,-3.2698e-10,0.05625
0.375,0,0,0,1,0.5,0,1,26.667,-3.3594e-10,-3.3594e-10,0.05625
0.4,0,0,0,1,0.5,0,1,26.667,-3.4468e-10,-3.4468e-10,0.05625
0.425,0,0,0,1,0.5,0,1,26.667,-3.5268e-10,-3.5268e-10,0.05625
0.45,0,0,0,1,0.5,0,1,26.667,-3.6087e-10,-3.6087e-10,0.05625
0.475,0,0,0,1,0.5,0,1,26.667,-3.6905e-10,-3.6905e-10,0.05625
0.5,0,0,0,1,0.5,0,1,26.667,-3.7575e-10,-3.7575e-10,0.05625
0.525,0,0,0,1,0.5,0,1,26.667,-3.8191e-10,-3.8191e-10,0.05625
0.55,0,0,0,1,0.5,0,1,26.667,-3.8768e-10,-3.8768e-10,0.05625
0.575,0,0,0,1,0.5,0,1,26.667,-3.9287e-10,-3.9287e-10,0.05625
0.6,0,0,0,1,0.5,0,1,26.667,-3.9774e-10,-3.9774e-10,0.05625
0.625,0,0,0,1,0.5,0,1,26.667,-4.0262e-10,-4.0262e-10,0.05625
0.65,0,0,0,1,0.5,0,1,26.667,-4.0786e-10,-4.0786e-10,0.05625
0.675,0,0,0,1,0.5,0,1,26.667,-4.1291e-10,-4.1291e-10,0.05625
0.7,0,0,0,1,0.5,0,1,26.667,-4.1752e-10,-4.1752e-10,0.05625
0.725,0,0,0,1,0.5,0,1,26.667,-4.2215e-10,-4.2215e-10,0.05625
0.75,0,0,0,1,0.5,0,1,26.667,-4.272e-10,-4.272e-10,0.05625
0.775,0,0,0,1,0.5,0,1,26.667,-4.3175e-10,-4.3175e-10,0.05625
0.8,0,0,0,1,0.5,0,1,26.667,-4.3565e-10,-4.3565e-10,0.05625
0.825,0,0,0,1,0.5,0,1,26.667,-4.3976e-10,-4.3976e-10,0.05625
0.85,0,0,0,1,0.5,0,1,26.667,-4.4444e-10,-4.4444e-10,0.05625
0.875,0,0,0,1,0.5,0,1,26.667,-4.4815e-10,-4.4815e-10,0.05625
0.9,0,0,0,1,0.5,0,1,26.667,-4.5046e-10,-4.5046e-10,0.05625
0.925,0,0,0,1,0.5,0,1,26.667,-4.5179e-10,-4.5179e-10,0.05625
0.95,0,0,0,1,0.5,0,1,26.667,-4.5375e-10,-4.5375e-10,0.05625
0.975,0,0,0,1,0.5,0,1,26.667,-4.5616e-10,-4.5616e-10,0.05625
1,0,0,0,1,0.5,0,1,26.667,-4.5859e-10,-4.5859e-10,0.05625
1.025,0,0,0,1,0.5,0,1,26.667,-4.6118e-10,-4.6118e-10,0.05625
1.05,0,0,0,1,0.5,0,1,26.667,-4.6304e-10,-4.6304e-10,0.05625
1.075,0,0,0,1,0.5,0,1,26.667,-4.6538e-10,-4.6538e-10,0.05625
