"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","delta","p","p_rgh","psi"
0,0,0,1,0.5,0,1,0,0,0,0.05625
0.025,0,0,1,0.5,0,1,0,2.7668e-11,2.7668e-11,0.05625
0.05,0,0,1,0.5,0,1,0,7.1642e-11,7.1642e-11,0.05625
0.075,0,0,1,0.5,0,1,0,9.9716e-11,9.9716e-11,0.05625
0.1,0,0,1,0.5,0,1,0,1.2055e-10,1.2055e-10,0.05625
0.125,0,0,1,0.5,0,1,0,1.3767e-10,1.3767e-10,0.05625
0.15,0,0,1,0.5,0,1,0,1.517e-10,1.517e-10,0.05625
0.175,0,0,1,0.5,0,1,0,1.638e-10,1.638e-10,0.05625
0.2,0,0,1,0.5,0,1,0,1.7503e-10,1.7503e-10,0.05625
0.225,0,0,1,0.5,0,1,0,1.8381e-10,1.8381e-10,0.05625
0.25,0,0,1,0.5,0,1,0,1.9167e-10,1.9167e-10,0.05625
0.275,0,0,1,0.5,0,1,0,1.992e-10,1.992e-10,0.05625
0.3,0,0,1,0.5,0,1,0,2.0529e-10,2.0529e-10,0.05625
0.325,0,0,1,0.5,0,1,0,2.1223e-10,2.1223e-10,0.05625
0.35,0,0,1,0.5,0,1,0,2.1945e-10,2.1945e-10,0.05625
0.375,0,0,1,0.5,0,1,0,2.2556e-10,2.2556e-10,0.05625
0.4,0,0,1,0.5,0,1,0,2.3181e-10,2.3181e-10,0.05625
0.425,0,0,1,0.5,0,1,0,2.3816e-10,2.3816e-10,0.05625
0.45,0,0,1,0.5,0,1,0,2.4408e-10,2.4408e-10,0.05625
0.475,0,0,1,0.5,0,1,0,2.4922e-10,2.4922e-10,0.05625
0.5,0,0,1,0.5,0,1,0,2.5393e-10,2.5393e-10,0.05625
0.525,0,0,1,0.5,0,1,0,2.591e-10,2.591e-10,0.05625
0.55,0,0,1,0.5,0,1,0,2.6359e-10,2.6359e-10,0.05625
0.575,0,0,1,0.5,0,1,0,2.6711e-10,2.6711e-10,0.05625
0.6,0,0,1,0.5,0,1,0,2.7075e-10,2.7075e-10,0.05625
0.625,0,0,1,0.5,0,1,0,2.7431e-10,2.7431e-10,0.05625
0.65,0,0,1,0.5,0,1,0,2.7835e-10,2.7835e-10,0.05625
0.675,0,0,1,0.5,0,1,0,2.8348e-10,2.8348e-10,0.05625
0.7,0,0,1,0.5,0,1,0,2.879e-10,2.879e-10,0.05625
0.725,0,0,1,0.5,0,1,0,2.9208e-10,2.9208e-10,0.05625
0.75,0,0,1,0.5,0,1,0,2.9625e-10,2.9625e-10,0.05625
0.775,0,0,1,0.5,0,1,0,2.9946e-10,2.9946e-10,0.05625
0.8,0,0,1,0.5,0,1,0,3.0402e-10,3.0402e-10,0.05625
0.825,0,0,1,0.5,0,1,0,3.0939e-10,3.0939e-10,0.05625
0.85,0,0,1,0.5,0,1,0,3.1357e-10,3.1357e-10,0.05625
0.875,0,0,1,0.5,0,1,0,3.1682e-10,3.1682e-10,0.05625
0.9,0,0,1,0.5,0,1,0,3.2087e-10,3.2087e-10,0.05625
0.925,0,0,1,0.5,0,1,0,3.2483e-10,3.2483e-10,0.05625
0.95,0,0,1,0.5,0,1,0,3.2815e-10,3.2815e-10,0.05625
0.975,0,0,1,0.5,0,1,0,3.3148e-10,3.3148e-10,0.05625
1,0,0,1,0.5,0,1,0,3.3435e-10,3.3435e-10,0.05625
1.025,0,0,1,0.5,0,1,0,3.3706e-10,3.3706e-10,0.05625
1.05,0,0,1,0.5,0,1,0,3.3995e-10,3.3995e-10,0.05625
1.075,0,0,1,0.5,0,1,0,3.4319e-10,3.4319e-10,0.05625
1.1,0,0,1,0.5,0,1,0,3.4613e-10,3.4613e-10,0.05625
1.125,0,0,1,0.5,0,1,0,3.5022e-10,3.5022e-10,0.05625
1.15,0,0,1,0.5,0,1,0,3.545e-10,3.545e-10,0.05625
1.175,0,0,1,0.5,0,1,0,3.5722e-10,3.5722e-10,0.05625
1.2,0,0,1,0.5,0,1,0,3.6103e-10,3.6103e-10,0.05625
1.225,0,0,1,0.5,0,1,0,3.6658e-10,3.6658e-10,0.05625
1.25,0,0,1,0.5,0,1,0,3.7197e-10,3.7197e-10,0.05625
1.275,0,0,1,0.5,0,1,0,3.7564e-10,3.7564e-10,0.05625
1.3,0,0,1,0.5,0,1,0,3.7845e-10,3.7845e-10,0.05625
1.325,0,0,1,0.5,0,1,0,3.8107e-10,3.8107e-10,0.05625
1.35,0,0,1,0.5,0,1,0,3.8462e-10,3.8462e-10,0.05625
1.375,0,0,1,0.5,0,1,0,3.8923e-10,3.8923e-10,0.05625
1.4,0,0,1,0.5,0,1,0,3.9261e-10,3.9261e-10,0.05625
1.425,0,0,1,0.5,0,1,0,3.9544e-10,3.9544e-10,0.05625
1.45,0,0,1,0.5,0,1,0,3.9851e-10,3.9851e-10,0.05625
1.475,0,0,1,0.5,0,1,0,4.0165e-10,4.0165e-10,0.05625
1.5,0,0,1,0.5,0,1,0,4.0574e-10,4.0574e-10,0.05625
1.525,0,0,1,0.5,0,1,0,4.0943e-10,4.0943e-10,0.05625
1.55,0,0,1,0.5,0,1,0,4.1236e-10,4.1236e-10,0.05625
1.575,0,0,1,0.5,0,1,0,4.1569e-10,4.1569e-10,0.05625
1.6,0,0,1,0.5,0,1,0,4.1932e-10,4.1932e-10,0.05625
1.625,0,0,1,0.5,0,1,0,4.2273e-10,4.2273e-10,0.05625
1.65,0,0,1,0.5,0,1,0,4.2607e-10,4.2607e-10,0.05625
1.675,0,0,1,0.5,0,1,0,4.2923e-10,4.2923e-10,0.05625
1.7,0,0,1,0.5,0,1,0,4.3159e-10,4.3159e-10,0.05625
1.725,0,0,1,0.5,0,1,0,4.3341e-10,4.3341e-10,0.05625
1.75,0,0,1,0.5,0,1,0,4.3498e-10,4.3498e-10,0.05625
1.775,0,0,1,0.5,0,1,0,4.376e-10,4.376e-10,0.05625
1.8,0,0,1,0.5,0,1,0,4.4076e-10,4.4076e-10,0.05625
1.825,0,0,1,0.5,0,1,0,4.4403e-10,4.4403e-10,0.05625
1.85,0,0,1,0.5,0,1,0,4.4748e-10,4.4748e-10,0.05625
1.875,0,0,1,0.5,0,1,0,4.4991e-10,4.4991e-10,0.05625
1.9,0,0,1,0.5,0,1,0,4.5152e-10,4.5152e-10,0.05625
1.925,0,0,1,0.5,0,1,0,4.5309e-10,4.5309e-10,0.05625
