# Field minima and maxima
# Time        	min(U)        	max(U)        
0.2           	0.000000e+00	2.754880e-01
0.201667      	0.000000e+00	3.171296e-01
0.203131      	0.000000e+00	2.262725e-01
0.204747      	0.000000e+00	2.584672e-01
0.206423      	0.000000e+00	2.807686e-01
0.208037      	0.000000e+00	2.716795e-01
0.209651      	0.000000e+00	2.874626e-01
0.211265      	0.000000e+00	2.517681e-01
0.212815      	0.000000e+00	2.565279e-01
0.214431      	0.000000e+00	2.839366e-01
0.216048      	0.000000e+00	2.559653e-01
0.217746      	0.000000e+00	2.328673e-01
0.219359      	0.000000e+00	2.482589e-01
0.220891      	0.000000e+00	2.253336e-01
0.222603      	0.000000e+00	2.399884e-01
0.224315      	0.000000e+00	2.395098e-01
0.225921      	0.000000e+00	2.870021e-01
0.227425      	0.000000e+00	2.468690e-01
0.229162      	0.000000e+00	2.792369e-01
0.23065       	0.000000e+00	2.262215e-01
0.232263      	0.000000e+00	2.615050e-01
0.233741      	0.000000e+00	2.283616e-01
0.235367      	0.000000e+00	2.474676e-01
0.236993      	0.000000e+00	2.454339e-01
0.238619      	0.000000e+00	2.597660e-01
0.240041      	0.000000e+00	2.817815e-01
0.241701      	0.000000e+00	2.615607e-01
0.243361      	0.000000e+00	2.808380e-01
0.244689      	0.000000e+00	2.779389e-01
0.246017      	0.000000e+00	2.433942e-01
0.247344      	0.000000e+00	2.483032e-01
0.248672      	0.000000e+00	2.423706e-01
0.25          	0.000000e+00	2.483595e-01
0.251471      	0.000000e+00	2.551190e-01
0.252987      	0.000000e+00	2.413143e-01
0.254608      	0.000000e+00	2.499664e-01
0.256173      	0.000000e+00	2.600210e-01
0.257685      	0.000000e+00	2.476909e-01
0.259252      	0.000000e+00	2.697786e-01
0.260819      	0.000000e+00	2.498080e-01
0.262386      	0.000000e+00	2.622076e-01
0.263833      	0.000000e+00	2.792606e-01
0.26534       	0.000000e+00	2.470925e-01
0.266916      	0.000000e+00	2.683218e-01
0.268491      	0.000000e+00	2.513508e-01
0.269991      	0.000000e+00	2.635990e-01
0.271492      	0.000000e+00	2.488820e-01
0.273076      	0.000000e+00	2.414806e-01
0.274659      	0.000000e+00	2.656105e-01
0.27615       	0.000000e+00	2.408595e-01
0.27774       	0.000000e+00	2.675671e-01
0.27933       	0.000000e+00	2.361689e-01
0.281053      	0.000000e+00	2.650645e-01
0.28251       	0.000000e+00	2.449415e-01
0.2841        	0.000000e+00	2.617083e-01
0.28569       	0.000000e+00	2.589903e-01
0.28728       	0.000000e+00	2.363927e-01
0.28887       	0.000000e+00	2.739751e-01
0.29046       	0.000000e+00	2.217555e-01
0.29205       	0.000000e+00	2.668026e-01
0.29364       	0.000000e+00	2.270957e-01
0.29523       	0.000000e+00	2.706264e-01
0.29682       	0.000000e+00	2.127551e-01
0.29841       	0.000000e+00	3.019323e-01
0.3           	0.000000e+00	2.068366e-01
0.301786      	0.000000e+00	2.396806e-01
0.303393      	0.000000e+00	2.210650e-01
0.305119      	0.000000e+00	2.347961e-01
0.306781      	0.000000e+00	3.089268e-01
0.308222      	0.000000e+00	2.252286e-01
0.309829      	0.000000e+00	2.396485e-01
0.311436      	0.000000e+00	2.312769e-01
0.313042      	0.000000e+00	2.528819e-01
0.314582      	0.000000e+00	2.420928e-01
0.316192      	0.000000e+00	2.498278e-01
0.317729      	0.000000e+00	2.213303e-01
0.319427      	0.000000e+00	2.520237e-01
0.320956      	0.000000e+00	2.205456e-01
0.322665      	0.000000e+00	2.447632e-01
0.324273      	0.000000e+00	2.269477e-01
0.325988      	0.000000e+00	2.506648e-01
0.327488      	0.000000e+00	2.175983e-01
0.32922       	0.000000e+00	2.834290e-01
0.330819      	0.000000e+00	2.214623e-01
0.332562      	0.000000e+00	2.826689e-01
0.334015      	0.000000e+00	2.136266e-01
0.335614      	0.000000e+00	2.330218e-01
0.337212      	0.000000e+00	2.352012e-01
0.338811      	0.000000e+00	2.378037e-01
0.340409      	0.000000e+00	2.305061e-01
0.342008      	0.000000e+00	2.294304e-01
0.343606      	0.000000e+00	2.442474e-01
0.345205      	0.000000e+00	2.295561e-01
0.346803      	0.000000e+00	2.742735e-01
0.348402      	0.000000e+00	2.187171e-01
0.35          	0.000000e+00	2.990170e-01
0.351389      	0.000000e+00	2.392364e-01
0.352957      	0.000000e+00	2.280118e-01
0.354637      	0.000000e+00	2.372242e-01
0.356257      	0.000000e+00	2.379732e-01
0.358007      	0.000000e+00	2.857607e-01
0.359455      	0.000000e+00	2.146867e-01
0.361077      	0.000000e+00	2.396544e-01
0.362699      	0.000000e+00	2.432055e-01
0.364253      	0.000000e+00	2.242823e-01
0.365955      	0.000000e+00	2.506361e-01
0.367503      	0.000000e+00	2.197270e-01
0.369213      	0.000000e+00	2.783072e-01
0.370612      	0.000000e+00	2.254418e-01
0.372159      	0.000000e+00	2.233063e-01
0.373899      	0.000000e+00	2.543974e-01
0.375434      	0.000000e+00	2.258706e-01
0.377189      	0.000000e+00	2.825820e-01
0.378615      	0.000000e+00	2.181334e-01
0.38026       	0.000000e+00	2.341691e-01
0.381905      	0.000000e+00	2.409072e-01
0.38355       	0.000000e+00	2.370558e-01
0.385195      	0.000000e+00	2.453260e-01
0.38684       	0.000000e+00	2.491733e-01
0.388485      	0.000000e+00	2.864547e-01
0.389924      	0.000000e+00	2.159300e-01
0.391604      	0.000000e+00	2.199082e-01
0.393283      	0.000000e+00	2.444990e-01
0.394962      	0.000000e+00	2.400812e-01
0.396641      	0.000000e+00	2.837620e-01
0.398321      	0.000000e+00	2.630239e-01
0.4           	0.000000e+00	2.497576e-01
0.401515      	0.000000e+00	2.267933e-01
0.403187      	0.000000e+00	2.126421e-01
0.404988      	0.000000e+00	2.585664e-01
0.406488      	0.000000e+00	2.396506e-01
0.408161      	0.000000e+00	2.417805e-01
0.409771      	0.000000e+00	2.144791e-01
0.411599      	0.000000e+00	2.152583e-01
0.413345      	0.000000e+00	2.505649e-01
0.414938      	0.000000e+00	2.372420e-01
0.416608      	0.000000e+00	2.724683e-01
0.418198      	0.000000e+00	2.170572e-01
0.419965      	0.000000e+00	2.327574e-01
0.421634      	0.000000e+00	2.378931e-01
0.423525      	0.000000e+00	2.561228e-01
0.424995      	0.000000e+00	2.262196e-01
0.426662      	0.000000e+00	2.040500e-01
0.428458      	0.000000e+00	2.225096e-01
0.430115      	0.000000e+00	2.400001e-01
0.431923      	0.000000e+00	2.381028e-01
0.433566      	0.000000e+00	2.568879e-01
0.435392      	0.000000e+00	2.409759e-01
0.437015      	0.000000e+00	2.357375e-01
0.43887       	0.000000e+00	2.113250e-01
0.440725      	0.000000e+00	3.222989e-01
0.442271      	0.000000e+00	2.213310e-01
0.444203      	0.000000e+00	2.119883e-01
0.446135      	0.000000e+00	2.689885e-01
0.448068      	0.000000e+00	2.377770e-01
0.45          	0.000000e+00	3.180785e-01
0.451724      	0.000000e+00	2.911019e-01
0.453233      	0.000000e+00	2.017629e-01
0.454965      	0.000000e+00	2.378914e-01
0.456923      	0.000000e+00	2.450812e-01
0.458518      	0.000000e+00	2.565769e-01
0.460055      	0.000000e+00	2.139690e-01
0.461791      	0.000000e+00	2.254048e-01
0.463528      	0.000000e+00	2.380928e-01
0.465114      	0.000000e+00	2.134552e-01
0.466858      	0.000000e+00	2.213588e-01
0.468603      	0.000000e+00	2.330875e-01
0.470449      	0.000000e+00	2.544566e-01
0.472005      	0.000000e+00	2.409953e-01
0.47356       	0.000000e+00	2.177732e-01
0.475323      	0.000000e+00	2.482487e-01
0.476865      	0.000000e+00	2.156824e-01
0.478645      	0.000000e+00	2.396916e-01
0.480287      	0.000000e+00	2.318895e-01
0.48193       	0.000000e+00	2.146064e-01
0.483737      	0.000000e+00	2.384700e-01
0.485363      	0.000000e+00	2.273485e-01
0.48699       	0.000000e+00	2.482552e-01
0.488616      	0.000000e+00	2.029067e-01
0.490513      	0.000000e+00	2.022878e-01
0.492411      	0.000000e+00	2.224838e-01
0.494308      	0.000000e+00	2.263163e-01
0.496205      	0.000000e+00	3.178049e-01
0.49747       	0.000000e+00	2.231604e-01
0.498735      	0.000000e+00	2.369534e-01
0.5           	0.000000e+00	2.376093e-01
